datetime,tempmax,tempmin,temp,day_month
2021-01-01,14.2,10.9,12.6,01-01
2021-01-02,15.6,6.2,10.8,02-01
2021-01-03,14.4,6.9,11.0,03-01
2021-01-04,15.8,10.3,13.0,04-01
2021-01-05,15.3,10.8,13.5,05-01
2021-01-06,14.3,7.3,11.3,06-01
2021-01-07,15.3,10.5,12.8,07-01
2021-01-08,17.6,11.8,14.5,08-01
2021-01-09,15.3,9.0,11.7,09-01
2021-01-10,9.8,7.9,8.8,10-01
2021-01-11,18.6,9.1,13.1,11-01
2021-01-12,17.1,9.2,13.1,12-01
2021-01-13,11.3,6.0,7.3,13-01
2021-01-14,6.0,4.2,5.0,14-01
2021-01-15,6.3,1.1,3.6,15-01
2021-01-16,5.6,0.4,2.6,16-01
2021-01-17,2.0,-1.8,0.2,17-01
2021-01-18,1.5,-3.9,-1.6,18-01
2021-01-19,2.4,-4.8,-1.4,19-01
2021-01-20,6.1,-4.2,2.0,20-01
2021-01-21,10.4,6.8,8.5,21-01
2021-01-22,13.7,9.7,11.5,22-01
2021-01-23,13.7,10.5,12.1,23-01
2021-01-24,13.8,10.5,12.1,24-01
2021-01-25,13.1,10.3,12.1,25-01
2021-01-26,14.2,10.1,12.5,26-01
2021-01-27,14.0,2.1,5.5,27-01
2021-01-28,5.0,1.0,2.9,28-01
2021-01-29,9.1,1.6,6.2,29-01
2021-01-30,10.8,7.3,9.0,30-01
2021-01-31,13.6,7.5,10.4,31-01
2021-02-01,17.0,9.7,13.9,01-02
2021-02-02,15.6,10.2,12.9,02-02
2021-02-03,14.7,9.3,12.0,03-02
2021-02-04,14.7,7.5,11.4,04-02
2021-02-05,15.6,7.9,11.5,05-02
2021-02-06,14.2,7.6,10.4,06-02
2021-02-07,15.6,7.3,11.5,07-02
2021-02-08,21.2,13.1,16.4,08-02
2021-02-09,17.1,13.3,15.0,09-02
2021-02-10,15.7,11.1,13.5,10-02
2021-02-11,18.1,11.9,14.4,11-02
2021-02-12,11.9,2.0,5.0,12-02
2021-02-13,2.7,-0.9,1.1,13-02
